id,prefecture_id,name_kanji,name_kana
707,14,秦野市,ハダノシ
708,14,厚木市,アツギシ
709,14,大和市,ヤマトシ
710,14,伊勢原市,イセハラシ
711,14,海老名市,エビナシ
712,14,座間市,ザマシ
713,14,南足柄市,ミナミアシガラシ
714,14,綾瀬市,アヤセシ
715,14,葉山町,ハヤママチ
716,14,寒川町,サムカワマチ
717,14,大磯町,オオイソマチ
718,14,二宮町,ニノミヤマチ
719,14,中井町,ナカイマチ
720,14,大井町,オオイマチ
721,14,松田町,マツダマチ
722,14,山北町,ヤマキタマチ
723,14,開成町,カイセイマチ
724,14,箱根町,ハコネマチ
725,14,真鶴町,マナツルマチ
726,14,湯河原町,ユガワラマチ
727,14,愛川町,アイカワマチ
728,14,清川村,キヨカワムラ
729,15,新潟市,ニイガタシ
730,15,長岡市,ナガオカシ
731,15,三条市,サンジョウシ
732,15,柏崎市,カシワザキシ
733,15,新発田市,シバタシ
734,15,小千谷市,オヂヤシ
735,15,加茂市,カモシ
736,15,十日町市,トオカマチシ
737,15,見附市,ミツケシ
738,15,村上市,ムラカミシ
739,15,燕市,ツバメシ
740,15,糸魚川市,イトイガワシ
741,15,妙高市,ミョウコウシ
742,15,五泉市,ゴセンシ
743,15,上越市,ジョウエツシ
744,15,阿賀野市,アガノシ
745,15,佐渡市,サドシ
746,15,魚沼市,ウオヌマシ
747,15,南魚沼市,ミナミウオヌマシ
748,15,胎内市,タイナイシ
749,15,聖籠町,セイロウマチ
750,15,弥彦村,ヤヒコムラ
751,15,田上町,タガミマチ
752,15,阿賀町,アガマチ
753,15,出雲崎町,イズモザキマチ
754,15,湯沢町,ユザワマチ
755,15,津南町,ツナンマチ
756,15,刈羽村,カリワムラ
757,15,関川村,セキカワムラ
758,15,粟島浦村,アワシマウラムラ
759,16,富山市,トヤマシ
760,16,高岡市,タカオカシ
761,16,魚津市,ウオヅシ
762,16,氷見市,ヒミシ
763,16,滑川市,ナメリカワシ
764,16,黒部市,クロベシ
765,16,砺波市,トナミシ
766,16,小矢部市,オヤベシ
767,16,南砺市,ナントシ
768,16,射水市,イミズシ
769,16,舟橋村,フナハシムラ
770,16,上市町,カミイチマチ
771,16,立山町,タテヤママチ
772,16,入善町,ニュウゼンマチ
773,16,朝日町,アサヒマチ
774,17,金沢市,カナザワシ
775,17,七尾市,ナナオシ
776,17,小松市,コマツシ
777,17,輪島市,ワジマシ
778,17,珠洲市,スズシ
779,17,加賀市,カガシ
780,17,羽咋市,ハクイシ
781,17,かほく市,カホクシ
782,17,白山市,ハクサンシ
783,17,能美市,ノミシ
784,17,野々市市,ノノイチシ
785,17,川北町,カワキタマチ
786,17,津幡町,ツバタマチ
787,17,内灘町,ウチナダマチ
788,17,志賀町,シカマチ
789,17,宝達志水町,ホウダツシミズチョウ
790,17,中能登町,ナカノトマチ
791,17,穴水町,アナミズマチ
792,17,能登町,ノトチョウ
793,18,福井市,フクイシ
794,18,敦賀市,ツルガシ
795,18,小浜市,オバマシ
796,18,大野市,オオノシ
797,18,勝山市,カツヤマシ
798,18,鯖江市,サバエシ
799,18,あわら市,アワラシ
800,18,越前市,エチゼンシ
801,18,坂井市,サカイシ
802,18,永平寺町,エイヘイジチョウ
803,18,池田町,イケダチョウ
804,18,南越前町,ミナミエチゼンチョウ
805,18,越前町,エチゼンチョウ
